MIM_Raw,Title,Comparison_Status,Old_Rank_200_export,New_Rank_1000_export,Rank_Shift_New_Minus_Old,Field_Values_Changed
#621469,MOYAMOYA DISEASE 8; MYMY8,Shared,116,116,0,false
#243500,ISOVALERIC ACIDEMIA; IVA,Shared,117,117,0,false
#621409,"AUTOINFLAMMATION AND AUTOIMMUNITY, SYSTEMIC, WITH IMMUNE DYSREGULATION 2; AIAISD2",Shared,118,118,0,false
#611788,"AORTIC ANEURYSM, FAMILIAL THORACIC 6; AAT6",Shared,119,119,0,false
#614024,PROTEIN Z DEFICIENCY,Shared,120,120,0,false
*132811,"EPOXIDE HYDROLASE 2, CYTOSOLIC; EPHX2",Shared,121,121,0,false
*604134,"A DISINTEGRIN-LIKE AND METALLOPROTEASE WITH THROMBOSPONDIN TYPE 1 MOTIF, 13; ADAMTS13",Shared,122,122,0,false
*138252,"GLUTAMATE RECEPTOR, IONOTROPIC, N-METHYL-D-ASPARTATE, SUBUNIT 2B; GRIN2B",Shared,123,123,0,false
*602887,DISCS LARGE MAGUK SCAFFOLD PROTEIN 4; DLG4,Shared,124,124,0,false
%252350,MOYAMOYA DISEASE 1; MYMY1,Shared,125,125,0,false
*176895,PROTEIN Z; PROZ,Shared,126,126,0,false
*192225,VASCULAR CELL ADHESION MOLECULE 1; VCAM1,Shared,127,127,0,false
#619220,IMMUNODEFICIENCY 78 WITH AUTOIMMUNITY AND DEVELOPMENTAL DELAY; IMD78,Shared,128,128,0,false
*601693,UNCOUPLING PROTEIN 2; UCP2,Shared,129,129,0,false
*612309,COAGULATION FACTOR V; F5,Shared,130,130,0,false
#173900,POLYCYSTIC KIDNEY DISEASE 1 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE; PKD1,Shared,131,131,0,false
#620687,MOYAMOYA DISEASE 7; MYMY7,Shared,132,132,0,false
*173610,SELECTIN P; SELP,Shared,133,133,0,false
*613381,CYSTATHIONINE BETA-SYNTHASE; CBS,Shared,134,134,0,false
*613768,RING FINGER PROTEIN 213; RNF213,Shared,135,135,0,false
#162200,"NEUROFIBROMATOSIS, TYPE I; NF1",Shared,136,136,0,false
*139250,GROWTH HORMONE 1; GH1,Shared,137,137,0,false
*163731,NITRIC OXIDE SYNTHASE 1; NOS1,Shared,138,138,0,false
*123260,C-REACTIVE PROTEIN; CRP,Shared,139,139,0,false
#194050,WILLIAMS-BEUREN SYNDROME; WBS,Shared,140,140,0,false
#251000,METHYLMALONIC ACIDURIA DUE TO METHYLMALONYL-CoA MUTASE DEFICIENCY; MAMM,Shared,141,141,0,false
*606945,LOW DENSITY LIPOPROTEIN RECEPTOR; LDLR,Shared,142,142,0,false
*612112,TUMOR NECROSIS FACTOR-ALPHA-INDUCED PROTEIN 8-LIKE 2; TNFAIP8L2,Shared,143,143,0,false
#613055,"ATRIAL FIBRILLATION, FAMILIAL, 8; ATFB8",Shared,144,144,0,false
*140580,HEAT-SHOCK TRANSCRIPTION FACTOR 1; HSF1,Shared,145,145,0,false
*173490,"PLATELET-DERIVED GROWTH FACTOR RECEPTOR, ALPHA; PDGFRA",Shared,146,146,0,false
*600295,NATRIURETIC PEPTIDE PRECURSOR B; NPPB,Shared,147,147,0,false
*608452,PLATELET-DERIVED GROWTH FACTOR C; PDGFC,Shared,148,148,0,false
#176270,PRADER-WILLI SYNDROME; PWS,Shared,149,149,0,false
*603030,TOLL-LIKE RECEPTOR 4; TLR4,Shared,150,150,0,false
#188055,THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE; THPH2,Shared,151,151,0,false
135580,"FIBROMUSCULAR DYSPLASIA, ARTERIAL; FMDA",Shared,152,152,0,false
#208000,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 1; GACI1",Shared,153,153,0,false
*600960,SET NUCLEAR PROTOONCOGENE; SET,Shared,154,154,0,false
#232600,GLYCOGEN STORAGE DISEASE V; GSD5,Shared,155,155,0,false
*603348,"HYPOXIA-INDUCIBLE FACTOR 1, ALPHA SUBUNIT; HIF1A",Shared,156,156,0,false
*138253,"GLUTAMATE RECEPTOR, IONOTROPIC, N-METHYL-D-ASPARTATE, SUBUNIT 2A; GRIN2A",Shared,157,157,0,false
