"Gene_Symbol","logFC_GSE16561","adj.P.Val_GSE16561","logFC_GSE58294","adj.P.Val_GSE58294","Evidence_Class","Replication_Rule"
"ECHDC3",0.707552372864175,0.0126694442518158,1.34023522173913,4.34509120901675e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"EIF2AK2",0.93976046623163,0.000147307713859925,0.556931014492754,0.00032371691417867,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"EPB41L3",0.577187786134588,0.000439389685174427,0.676761571014493,0.000449173073946371,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"F5",0.720177280195637,0.000377058468514558,0.935865469565218,1.47183945042841e-07,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"FAR2",0.67689880624911,0.000136026750862279,0.809714714492754,3.28023098648582e-06,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"FBN2",0.635386835398222,5.32306705474727e-05,0.534515072028985,0.000232567838517645,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"FCGR1A",0.803332836888137,0.000613333359864965,0.886460434782608,0.000515508252814092,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"FCRLA",-0.74080073290986,0.00684543216946749,-0.659382072028986,0.00951943773718518,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"FES",0.537362657562072,0.0046111030030948,0.73778447826087,6.19270852753833e-06,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"FKBP5",0.759154332634551,0.0116528073558782,0.819332355072464,6.76415838982468e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"FLT3LG",-0.679076221840497,1.98478282036287e-05,-0.579828543478261,9.97658215450961e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"FOLR3",1.25247626762095,0.000752603160643832,1.15566695652174,0.00333456984191383,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"FPR2",0.765175976699237,0.000746841778234148,0.816091563043478,0.000400065288397588,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"GBP2",0.624454226219228,2.0444696434656e-05,0.58708304347826,5.19843341418477e-06,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"GPAT3",0.851608712215292,9.49802135566665e-06,0.655345217391305,0.00010134385253929,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"GYG1",0.534729186790747,0.00196223042373897,0.889243913043479,2.60499219477864e-10,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"HAL",0.646501824776799,0.000132565796208228,0.620569565217391,0.000538135957028535,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"HECW2",0.599885393723535,0.00126220295843011,0.846353249275362,1.1384136904466e-07,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"HERC5",0.980328813360574,0.00443668476097458,0.517262173913044,0.0231725599593743,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"HLX",0.626922651270031,2.87784197614512e-05,0.610703608695653,8.80395627264747e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"HSDL2",0.553185017900271,5.51339831240449e-05,0.650075249347826,9.54340286513747e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ID3",-0.767574033389126,1.006880110497e-05,-1.0486427,3.07857882590427e-08,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
