assocID,Disease,Disease_CUI,Gene_Symbol,Entrez_Gene_ID,Ensembl_Gene_ID,Gene_Description,Gene_Type,Raw_GDA_Score,Normalized_Score,N_PMIDs,First_Ref_Year,Last_Ref_Year,EI,DSI,DPI,Evidence_Origin,Has_Human_TextMining,Has_Model_TextMining,Broad_Ischemic_Stroke_Present,Broad_Raw_GDA_Score,Broad_N_PMIDs,Evidence_Tier,Protein_Coding_for_STRING,Human_Literature_Extended_Eligible,Conservative_EI_Eligible,Recommended_Use,Association_Role,Caution,Score_Breakdown
6280_C5392833,Acute Ischemic Stroke,C5392833,S100A9,6280,ENSG00000163220,S100 calcium binding protein A9,protein-coding,0.25,0.1612903225806451,2,2021,2022,1,0.41,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.25,3,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
6288_C5392833,Acute Ischemic Stroke,C5392833,SAA1,6288,ENSG00000173432,serum amyloid A1,protein-coding,0.25,0.1612903225806451,2,2017,2022,1,0.44,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.2,2,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
5054_C5392833,Acute Ischemic Stroke,C5392833,SERPINE1,5054,ENSG00000106366,serpin family E member 1,protein-coding,0.25,0.1612903225806451,2,2015,2019,1,0.36,0.92,Model_text_mining_only,FALSE,TRUE,TRUE,0.45,28,Extended_PC_0.20_to_lt_0.30,TRUE,FALSE,FALSE,Unrefined_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=2; weight=0.2
6696_C5392833,Acute Ischemic Stroke,C5392833,SPP1,6696,ENSG00000118785,secreted phosphoprotein 1,protein-coding,0.25,0.1612903225806451,2,2022,2025,1,0.35,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.35,9,Extended_PC_0.20_to_lt_0.30,TRUE,FALSE,FALSE,Unrefined_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=2; weight=0.2
7412_C5392833,Acute Ischemic Stroke,C5392833,VCAM1,7412,ENSG00000162692,vascular cell adhesion molecule 1,protein-coding,0.25,0.1612903225806451,2,2016,2024,0.5,0.39,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.4,11,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,FALSE,Human_literature_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
551_C5392833,Acute Ischemic Stroke,C5392833,AVP,551,ENSG00000101200,arginine vasopressin,protein-coding,0.2,0.1290322580645161,9,2011,2024,1,0.41,0.92,Human_text_mining_only,TRUE,FALSE,TRUE,0.45,13,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,Total: 0.2 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=9; weight=0.2
2026_C5392833,Acute Ischemic Stroke,C5392833,ENO2,2026,ENSG00000111674,enolase 2,protein-coding,0.2,0.1290322580645161,8,1995,2025,0.75,0.4,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.3,9,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,FALSE,Human_literature_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,Total: 0.2 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=8; weight=0.2
3553_C5392833,Acute Ischemic Stroke,C5392833,IL1B,3553,ENSG00000125538,interleukin 1 beta,protein-coding,0.2,0.1290322580645161,8,2017,2025,0.75,0.28,0.96,Human_text_mining_only,TRUE,FALSE,TRUE,0.45,40,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,FALSE,Human_literature_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,Total: 0.2 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=8; weight=0.2
4747_C5392833,Acute Ischemic Stroke,C5392833,NEFL,4747,ENSG00000277586,neurofilament light chain,protein-coding,0.2,0.1290322580645161,8,2021,2025,1,0.4,0.92,Human_text_mining_only,TRUE,FALSE,TRUE,0.3,6,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,Total: 0.2 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=8; weight=0.2
7139_C5392833,Acute Ischemic Stroke,C5392833,TNNT2,7139,ENSG00000118194,"troponin T2, cardiac type",protein-coding,0.2,0.1290322580645161,8,2008,2025,0.875,0.47,0.83,Human_text_mining_only,TRUE,FALSE,TRUE,0.2,5,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,Total: 0.2 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=8; weight=0.2
