assocID,Disease,Disease_CUI,Gene_Symbol,Entrez_Gene_ID,Ensembl_Gene_ID,Gene_Description,Gene_Type,Raw_GDA_Score,Normalized_Score,N_PMIDs,First_Ref_Year,Last_Ref_Year,EI,DSI,DPI,Evidence_Origin,Has_Human_TextMining,Has_Model_TextMining,Broad_Ischemic_Stroke_Present,Broad_Raw_GDA_Score,Broad_N_PMIDs,Evidence_Tier,Protein_Coding_for_STRING,Human_Literature_Extended_Eligible,Conservative_EI_Eligible,Recommended_Use,Association_Role,Caution,Score_Breakdown
4023_C5392833,Acute Ischemic Stroke,C5392833,LPL,4023,ENSG00000175445,lipoprotein lipase,protein-coding,0.1,0.064516129032258,1,2016,2016,0,0.47,0.83,Human_text_mining_only,TRUE,FALSE,TRUE,0.3,15,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
4043_C5392833,Acute Ischemic Stroke,C5392833,LRPAP1,4043,ENSG00000163956,LDL receptor related protein associated protein 1,protein-coding,0.1,0.064516129032258,1,2020,2020,1,0.59,0.83,Human_text_mining_only,TRUE,FALSE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
10296_C5392833,Acute Ischemic Stroke,C5392833,MAEA,10296,ENSG00000090316,"macrophage erythroblast attacher, E3 ubiquitin ligase",protein-coding,0.1,0.064516129032258,1,2007,2007,0,0.58,0.71,Human_text_mining_only,TRUE,FALSE,TRUE,0.2,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
10892_C5392833,Acute Ischemic Stroke,C5392833,MALT1,10892,ENSG00000172175,MALT1 paracaspase,protein-coding,0.1,0.064516129032258,1,2021,2021,1,0.51,0.79,Human_text_mining_only,TRUE,FALSE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
9020_C5392833,Acute Ischemic Stroke,C5392833,MAP3K14,9020,ENSG00000006062,mitogen-activated protein kinase kinase kinase 14,protein-coding,0.1,0.064516129032258,1,2024,2024,1,0.52,0.75,Human_text_mining_only,TRUE,FALSE,TRUE,0.1,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
4155_C5392833,Acute Ischemic Stroke,C5392833,MBP,4155,ENSG00000197971,myelin basic protein,protein-coding,0.1,0.064516129032258,1,2015,2015,0,0.48,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.35,2,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
55384_C5392833,Acute Ischemic Stroke,C5392833,MEG3,55384,ENSG00000214548,maternally expressed 3,ncRNA,0.1,0.064516129032258,1,2021,2021,1,0.45,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.25,7,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
57721_C5392833,Acute Ischemic Stroke,C5392833,METTL14,57721,ENSG00000145388,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",protein-coding,0.1,0.064516129032258,1,2026,2026,1,0.5,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.1,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
406893_C5392833,Acute Ischemic Stroke,C5392833,MIR101-1,406893,ENSG00000199135,microRNA 101-1,ncRNA,0.1,0.064516129032258,1,2017,2017,1,0.51,0.88,Human_text_mining_only,TRUE,FALSE,FALSE,,,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
406912_C5392833,Acute Ischemic Stroke,C5392833,MIR125B2,406912,ENSG00000207863,microRNA 125b-2,ncRNA,0.1,0.064516129032258,1,2017,2017,1,0.46,0.92,Human_text_mining_only,TRUE,FALSE,TRUE,0.2,2,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
