Target_Rank,ChEMBL_Target_ID_Normalized,ChEMBL_Pref_Name,Target_Name_Original,ChEMBL_Target_Type,Organism,Tax_ID,Component_Gene_Symbols,Component_UniProt_Accessions,Component_Count,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,D_Propensity_Score_Raw,D_Propensity_Score_Clean,D_Propensity_Status,I_Propensity_Score_Raw,I_Propensity_Score_Clean,I_Propensity_Status,Raw_Record_Count,Raw_ChEMBL_IDs,Mutation_Context,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
42,CHEMBL5880,Interleukin-2,Interleukin-2,SINGLE PROTEIN,Homo sapiens,9606,IL2,P60568,1,0.0778,,0.0778,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL5880,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
43,CHEMBL1812,Pancreatic triacylglycerol lipase,Pancreatic triacylglycerol lipase,SINGLE PROTEIN,Homo sapiens,9606,PNLIP,P16233,1,0.076,,0.076,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1812,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
44,CHEMBL2428,"Myosin light chain kinase, smooth muscle","Myosin light chain kinase, smooth muscle",SINGLE PROTEIN,Homo sapiens,9606,MYLK,Q15746,1,0.0759,,0.0759,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2428,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
45,CHEMBL1949,Peptidyl-prolyl cis-trans isomerase A,Peptidyl-prolyl cis-trans isomerase A,SINGLE PROTEIN,Homo sapiens,9606,PPIA,P62937,1,,0.0709,0.0709,I,,,not_applicable_no_D_record,0.0173,0.0173,Positive_propensity_returned,1,CHEMBL1949,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
46,CHEMBL3038455,AMPK alpha2/beta1/gamma1,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,Homo sapiens,9606,PRKAA2;PRKAG1;PRKAB1,P54646;P54619;Q9Y478,3,,0.0687,0.0687,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL3038455,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
47,CHEMBL6044,Bcl-2-related protein A1,Bcl-2-related protein A1,SINGLE PROTEIN,Homo sapiens,9606,BCL2A1,Q16548,1,0.0682,,0.0682,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL6044,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
48,CHEMBL1250378,Splicing factor 3B subunit 3,Splicing factor 3B subunit 3,SINGLE PROTEIN,Homo sapiens,9606,SF3B3,Q15393,1,,0.0661,0.0661,I,,,not_applicable_no_D_record,0.2573,0.2573,Positive_propensity_returned,1,CHEMBL1250378,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
49,CHEMBL3582,Protein kinase C epsilon type,Protein kinase C epsilon type,SINGLE PROTEIN,Homo sapiens,9606,PRKCE,Q02156,1,0.0631,0.0372,0.0631,D+I,-1,,No_positive_propensity_returned,-1,,No_positive_propensity_returned,2,CHEMBL3582,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
50,CHEMBL2163182,NAD-dependent protein deacylase sirtuin-6,NAD-dependent protein deacylase sirtuin-6,SINGLE PROTEIN,Homo sapiens,9606,SIRT6,Q8N6T7,1,0.063,,0.063,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2163182,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
51,CHEMBL4822,Beta-secretase 1,Beta-secretase 1,SINGLE PROTEIN,Homo sapiens,9606,BACE1,P56817,1,0.0612,,0.0612,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL4822,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
