Gene_Rank,Gene_Symbol,UniProt_Accession,Source_ChEMBL_IDs,Source_Target_Names,Source_Target_Types,Source_Target_Entity_Count,Component_Relationship,Complex_Derived,Chimeric_Derived,Mutation_Context,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,Raw_Evidence_Record_Count,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Organism,Tax_ID,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
24,SLC47A2,Q86VL8,CHEMBL1743127,Multidrug and toxin extrusion protein 2,SINGLE PROTEIN,1,single_protein,false,false,,,0.1397,0.1397,I,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
25,DRD2,P14416,CHEMBL217,D(2) dopamine receptor,SINGLE PROTEIN,1,single_protein,false,false,,0.134,,0.134,D,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
26,F2R,P25116,CHEMBL3974,Proteinase-activated receptor 1,SINGLE PROTEIN,1,single_protein,false,false,,,0.1169,0.1169,I,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
27,PRKCD,Q05655,CHEMBL2996,Protein kinase C delta type,SINGLE PROTEIN,1,single_protein,false,false,,0.1079,0.0611,0.1079,D+I,2,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
28,CTNNB1,P35222,CHEMBL5866,Catenin beta-1,SINGLE PROTEIN,1,single_protein,false,false,,0.1043,,0.1043,D,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
29,TBXAS1,P24557,CHEMBL1835,Thromboxane-A synthase,SINGLE PROTEIN,1,single_protein,false,false,,0.1032,,0.1032,D,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
30,RELA,Q04206,CHEMBL5533,Transcription factor p65,SINGLE PROTEIN,1,single_protein,false,false,,0.026,0.0966,0.0966,D+I,2,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
31,NT5E,P21589,CHEMBL5957,5'-nucleotidase,SINGLE PROTEIN,1,single_protein,false,false,,0.0897,,0.0897,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
32,DNMT1,P26358,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,SINGLE PROTEIN,1,single_protein,false,false,,,0.0879,0.0879,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
33,GPBAR1,Q8TDU6,CHEMBL5409,G-protein coupled bile acid receptor 1,SINGLE PROTEIN,1,single_protein,false,false,,0.0863,,0.0863,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
