Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Source_Row_ID,Target_Name_Original,ChEMBL_ID_Raw,ChEMBL_Target_ID_Normalized,Mutation_Context,Activity_Score,Propensity_Score_Raw,Propensity_Score_Clean,Propensity_Status,Interaction_Type,Interaction_Type_Interpretation,ChEMBL_Pref_Name,ChEMBL_Target_Type,Organism,Tax_ID,Gene_Symbols,UniProt_Accessions,Component_Count,Component_Relationship,Prediction_Included,Evidence_Type,Activity_Score_Interpretation,Pharmacologic_Direction,Mapping_Status,Source_URL
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,45,"Myosin light chain kinase, smooth muscle",CHEMBL2428,CHEMBL2428,,0.0759,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,"Myosin light chain kinase, smooth muscle",SINGLE PROTEIN,Homo sapiens,9606,MYLK,Q15746,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,46,Peptidyl-prolyl cis-trans isomerase A,CHEMBL1949,CHEMBL1949,,0.0709,0.0173,0.0173,Positive_propensity_returned,I,complex_assay_model_prediction,Peptidyl-prolyl cis-trans isomerase A,SINGLE PROTEIN,Homo sapiens,9606,PPIA,P62937,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,47,AMPK alpha2/beta1/gamma1,CHEMBL3038455,CHEMBL3038455,,0.0687,-1,,No_positive_propensity_returned,I,complex_assay_model_prediction,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,Homo sapiens,9606,PRKAA2;PRKAG1;PRKAB1,P54646;P54619;Q9Y478,3,protein_complex_component,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,48,Bcl-2-related protein A1,CHEMBL6044,CHEMBL6044,,0.0682,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Bcl-2-related protein A1,SINGLE PROTEIN,Homo sapiens,9606,BCL2A1,Q16548,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,49,Splicing factor 3B subunit 3,CHEMBL1250378,CHEMBL1250378,,0.0661,0.2573,0.2573,Positive_propensity_returned,I,complex_assay_model_prediction,Splicing factor 3B subunit 3,SINGLE PROTEIN,Homo sapiens,9606,SF3B3,Q15393,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,50,Protein kinase C epsilon type,CHEMBL3582,CHEMBL3582,,0.0631,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Protein kinase C epsilon type,SINGLE PROTEIN,Homo sapiens,9606,PRKCE,Q02156,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,51,NAD-dependent protein deacylase sirtuin-6,CHEMBL2163182,CHEMBL2163182,,0.063,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,NAD-dependent protein deacylase sirtuin-6,SINGLE PROTEIN,Homo sapiens,9606,SIRT6,Q8N6T7,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,52,Beta-secretase 1,CHEMBL4822,CHEMBL4822,,0.0612,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Beta-secretase 1,SINGLE PROTEIN,Homo sapiens,9606,BACE1,P56817,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,53,Protein kinase C delta type,CHEMBL2996,CHEMBL2996,,0.0611,0.0685,0.0685,Positive_propensity_returned,I,complex_assay_model_prediction,Protein kinase C delta type,SINGLE PROTEIN,Homo sapiens,9606,PRKCD,Q05655,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,54,C-X-C chemokine receptor type 1,CHEMBL4029,CHEMBL4029,,0.0573,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,C-X-C chemokine receptor type 1,SINGLE PROTEIN,Homo sapiens,9606,CXCR1,P25024,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,55,Androgen receptor,CHEMBL1871,CHEMBL1871,,0.0571,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Androgen receptor,SINGLE PROTEIN,Homo sapiens,9606,AR,P10275,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,56,Acetylcholinesterase,CHEMBL220,CHEMBL220,,0.0566,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Acetylcholinesterase,SINGLE PROTEIN,Homo sapiens,9606,ACHE,P22303,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,57,CDGSH iron-sulfur domain-containing protein 1,CHEMBL1795168,CHEMBL1795168,,0.0533,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,CDGSH iron-sulfur domain-containing protein 1,SINGLE PROTEIN,Homo sapiens,9606,CISD1,Q9NZ45,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
