Gene_Symbol,UniProt_Accession,Entrez_Gene_ID,Protein_Name,Protein_Family,NetInfer_Score,Prediction_Rank,Rank_Layer,Organism,Tax_ID,Evidence_Status,Recommendation_For_Merge
NFE2L2,Q16236,4780,"Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)","BZIP family, CNC subfamily",0.994384,31,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
MBOAT4,Q96T53,619373,Ghrelin O-acyltransferase (EC 2.3.1.-) (Membrane-bound O-acyltransferase domain-containing protein 4) (O-acyltransferase domain-containing protein 4),Membrane-bound acyltransferase family,0.991444,32,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
SLC5A2,P31639,6524,Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2),Sodium:solute symporter (SSF) (TC 2.A.21) family,0.981711,33,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
GPR32,O75388,2854,Probable G-protein coupled receptor 32,G-protein coupled receptor 1 family,0.97903,34,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
CHRM3,P20309,1131,Muscarinic acetylcholine receptor M3,"G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM3 sub-subfamily",0.966866,35,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
GPR18,Q14330,2841,N-arachidonyl glycine receptor (NAGly receptor) (G-protein coupled receptor 18),G-protein coupled receptor 1 family,0.960422,36,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
TDP1,Q9NUW8,55775,Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-),Tyrosyl-DNA phosphodiesterase family,0.889927,37,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
LPAR3,Q9UBY5,23566,Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7),G-protein coupled receptor 1 family,0.878707,38,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
CASP1,P29466,834,Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10],Peptidase C14A family,0.841848,39,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
CHRM5,P08912,1133,Muscarinic acetylcholine receptor M5,"G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM5 sub-subfamily",0.835223,40,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
MIF,P14174,4282,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),MIF family,0.827365,41,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
PAX8,Q06710,7849,Paired box protein Pax-8,NA,0.816687,42,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
GLRA1,P23415,2741,Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit),"Ligand-gated ion channel (TC 1.A.9) family, Glycine receptor (TC 1.A.9.3) subfamily, GLRA1 sub-subfamily",0.81402,43,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
PPM1B,O75688,5495,Protein phosphatase 1B (EC 3.1.3.16) (Protein phosphatase 2C isoform beta) (PP2C-beta),PP2C family,0.810353,44,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
DRD4,P21917,1815,D(4) dopamine receptor (D(2C) dopamine receptor) (Dopamine D4 receptor),G-protein coupled receptor 1 family,0.806715,45,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
NR3C1,P04150,2908,Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1),"Nuclear hormone receptor family, NR3 subfamily",0.804871,46,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
PTGFR,P43088,5737,Prostaglandin F2-alpha receptor (PGF receptor) (PGF2-alpha receptor) (Prostanoid FP receptor),G-protein coupled receptor 1 family,0.787381,47,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
SIGMAR1,Q99720,10280,Sigma non-opioid intracellular receptor 1 (Aging-associated gene 8 protein) (SR31747-binding protein) (SR-BP) (Sigma 1-type opioid receptor) (SIG-1R) (Sigma1-receptor) (Sigma1R) (hSigmaR1),ERG2 family,0.760891,48,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
DRD5,P21918,1816,D(1B) dopamine receptor (D(5) dopamine receptor) (D1beta dopamine receptor) (Dopamine D5 receptor),G-protein coupled receptor 1 family,0.752704,49,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
ADORA2A,P29274,135,Adenosine receptor A2a,G-protein coupled receptor 1 family,0.752609,50,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
