Disease_ID,Disease_Name,Evidence_Class,Source_Database,Gene_Symbol,Ensembl_ID,Target_Name,Overall_Association_Score,Source_Score,Direct_Association,Species,Retrieval_Date
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PIK3CG,ENSG00000105851,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",0.29677507967562333,0.4107035117350954,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PRDM16,ENSG00000142611,PR/SET domain 16,0.29384027725760714,0.48334494388509025,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,SNX13,ENSG00000071189,sorting nexin 13,0.2901898282648009,0.47734023248183877,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TMOD4,ENSG00000163157,tropomodulin 4,0.2867221401820521,0.47163614889802913,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,MPO,ENSG00000005381,myeloperoxidase,0.28638584700340103,0.04168169930481895,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,GCKR,ENSG00000084734,glucokinase regulator,0.28561866300433947,0.44170421334159915,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CDKN1A,ENSG00000124762,cyclin dependent kinase inhibitor 1A,0.28530896814084294,0.4550562701014293,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,VPS33B,ENSG00000184056,VPS33B late endosome and lysosome associated,0.28489124880875966,0.468624471614224,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,IL1F10,ENSG00000136697,interleukin 1 family member 10,0.2825526242503666,0.418545344832048,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PMF1,ENSG00000160783,polyamine modulated factor 1,0.28228118734814817,0.4590117242224789,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,LRCH1,ENSG00000136141,leucine rich repeats and calponin homology domain containing 1,0.2792259644458468,0.4481601110636333,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PIGU,ENSG00000101464,phosphatidylinositol glycan anchor biosynthesis class U,0.27918090934177464,0.45923139679482144,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,IL1R1,ENSG00000115594,interleukin 1 receptor type 1,0.27846837809098146,0.4428562848044249,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,DHODH,ENSG00000102967,dihydroorotate dehydrogenase (quinone),0.2710219723990536,0.44581056505743444,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ZCCHC14,ENSG00000140948,zinc finger CCHC-type containing 14,0.2708700756812901,0.4455607064907024,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,HDLBP,ENSG00000115677,high density lipoprotein binding protein,0.26884631286183647,0.4376722893412021,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,SLC44A2,ENSG00000129353,solute carrier family 44 member 2 (CTL2 blood group),0.267483814581926,0.4399905641115571,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,RAPGEF6,ENSG00000158987,Rap guanine nucleotide exchange factor 6,0.2642804265532808,0.4347212340476249,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,BGLAP,ENSG00000242252,bone gamma-carboxyglutamate protein,0.26367213866664085,0.4138151347831576,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,GYS2,ENSG00000111713,glycogen synthase 2,0.2633461904060453,0.4331844865248709,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ZFP36L1,ENSG00000185650,ZFP36 like 1 zinc finger CCCH-type,0.26253353933287377,0.4166494672763298,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CDK6,ENSG00000105810,cyclin dependent kinase 6,0.25913052690424904,0.41409142422058925,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ADH4,ENSG00000198099,"alcohol dehydrogenase 4 (class II), pi polypeptide",0.2582896620413935,0.4248668813229015,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,MYL2,ENSG00000111245,myosin light chain 2,0.2571632574055091,0.4184545502461824,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,FGG,ENSG00000171557,fibrinogen gamma chain,0.2544729785785468,0.3339121199371554,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,MMP3,ENSG00000149968,matrix metallopeptidase 3,0.24984828208177026,0.114318905489715,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CUX1,ENSG00000257923,cut like homeobox 1,0.24069749974373955,0.38832997520056545,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,STAB2,ENSG00000136011,stabilin 2,0.23972447396187582,0.39128890265635247,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,STX2,ENSG00000111450,syntaxin 2,0.23726353315814216,0.39028049588913716,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CALCRL,ENSG00000064989,calcitonin receptor like receptor,0.23716734656002253,0.37783700803724224,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,FAF1,ENSG00000185104,Fas associated factor 1,0.23577465900772113,0.38783141096652696,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,MS4A4E,ENSG00000214787,membrane spanning 4-domains A4E,0.23304727280466855,0.38334506776139954,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TWIST1,ENSG00000122691,twist family bHLH transcription factor 1,0.22728718431382772,0.33670279043637136,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PPP1R3B,ENSG00000173281,protein phosphatase 1 regulatory subunit 3B,0.2266876134142681,0.3478067655713751,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CFAP77,ENSG00000188523,cilia and flagella associated protein 77,0.22263404714124208,0.3662161022535869,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,IL36RN,ENSG00000136695,interleukin 36 receptor antagonist,0.21907553482753242,0.36036261970641215,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PLSCR5,ENSG00000231213,phospholipid scramblase family member 5,0.21861097208032537,0.35959844926294693,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CENPQ,ENSG00000031691,centromere protein Q,0.21777447981174164,0.3536630020164921,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CHD9,ENSG00000177200,chromodomain helicase DNA binding protein 9,0.21671176978289766,0.35647440569599964,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ATXN2,ENSG00000204842,ataxin 2,0.21216700886443912,0.3489986190829286,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ZNF77,ENSG00000175691,zinc finger protein 77,0.20761434515848184,0.3415098329845054,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,JMJD1C,ENSG00000171988,jumonji domain containing 1C,0.20628123577573598,0.3393169692770188,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,HOXC5,ENSG00000172789,homeobox C5,0.1984168442592042,0.32638064239996534,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CDKN2C,ENSG00000123080,cyclin dependent kinase inhibitor 2C,0.19811452271040295,0.3258833464084002,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,KAZN,ENSG00000189337,"kazrin, periplakin interacting protein",0.1968348108381711,0.3237783175510706,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,DIP2B,ENSG00000066084,DIP2 acetate--CoA ligase B (putative),0.1925619746492809,0.3167498264700514,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,FUNDC2,ENSG00000165775,FUN14 domain containing 2,0.18694309824485947,0.3075072014434919,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,HP,ENSG00000257017,haptoglobin,0.1865925767142821,0.06289302749561082,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,KIRREL3,ENSG00000149571,kirre like nephrin family adhesion molecule 3,0.18584214907799937,0.30569622366249216,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PLEC,ENSG00000178209,plectin,0.18361568877058976,0.3020338655188404,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,SHANK3,ENSG00000251322,SH3 and multiple ankyrin repeat domains 3,0.18244792927300038,0.2955535088348195,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,SEPTIN2,ENSG00000168385,septin 2,0.18074903108258691,0.29731843129628566,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,MAPKAPK5,ENSG00000089022,MAPK activated protein kinase 5,0.17989577474760352,0.08330481398551824,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PLRG1,ENSG00000171566,pleiotropic regulator 1,0.17409005972863004,0.286364929055376,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,BARHL1,ENSG00000125492,BarH like homeobox 1,0.16908921297283025,0.278138915871891,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ARMS2,ENSG00000254636,age-related maculopathy susceptibility 2,0.16906988181838967,0.2750674636026526,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CDKN2A,ENSG00000147889,cyclin dependent kinase inhibitor 2A,0.16835923401433692,0.19501028519171354,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,IL1R2,ENSG00000115590,interleukin 1 receptor type 2,0.1675382703543601,0.06793641563347153,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TCF7L2,ENSG00000148737,transcription factor 7 like 2,0.16701387827859776,0.058005270826984465,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,F8,ENSG00000185010,coagulation factor VIII,0.16478851782262705,0.13577974226939638,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TAB1,ENSG00000100324,TGF-beta activated kinase 1 (MAP3K7) binding protein 1,0.1634368268219051,0.2688411698568319,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,UQCC1,ENSG00000101019,ubiquinol-cytochrome c reductase complex assembly factor 1,0.16041450349526892,0.26386967747890006,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,FOXQ1,ENSG00000164379,forkhead box Q1,0.15970459007041035,0.25320300508825444,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,F7,ENSG00000057593,coagulation factor VII,0.1454378953586832,0.08102612737880652,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,SPPL2A,ENSG00000138600,signal peptide peptidase like 2A,0.14261952978670359,0.2345982969558595,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CD209,ENSG00000090659,CD209 molecule,0.140188594903348,0.20020305378058434,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,LOX,ENSG00000113083,lysyl oxidase,0.1397706906802305,0.12509711950959446,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ADH5,ENSG00000197894,"alcohol dehydrogenase 5 (class III), chi polypeptide",0.13358523714470613,0.20453930162134565,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PPP2R3A,ENSG00000073711,protein phosphatase 2 regulatory subunit B''alpha,0.1334643239452588,0.2195386785298596,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,MCF2L,ENSG00000126217,MCF.2 cell line derived transforming sequence like,0.13244141136296794,0.21785606500491633,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,HSF5,ENSG00000176160,heat shock transcription factor 5,0.13157530302649886,0.2164313825577171,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ICA1L,ENSG00000163596,islet cell autoantigen 1 like,0.1310480607108059,0.20796497401340133,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TRPM7,ENSG00000092439,transient receptor potential cation channel subfamily M member 7,0.12993851469386722,0.17525429655059097,True,Homo sapiens,2026-07-15
